601898,China Coal,8.75,,-0.03,-0.34%,35.87%,2-Feb
601939,China Construction Bank,5.62,,0,0%,-8.32%,2-Feb
600519,Kweichow Moutai,"1,844.97",,-0.79,-0.04%,-1.23%,1-Feb
601398,ICBC,4.31,,-0.01,-0.23%,-9.07%,1-Feb
601288,Agricultural Bank of China,2.92,,0.01,0.34%,-2.67%,1-Feb
601857,Petrochina,5.2,,0.03,0.58%,-5.11%,1-Feb
600036,China Merchants Bank,40.54,,-0.67,-1.63%,-21.05%,1-Feb
601628,China Life Insurance,33.94,,-0.1,-0.29%,20.35%,1-Feb
601318,Ping An Insurance,51.35,,0.37,0.73%,-1.21%,1-Feb
600900,China Yangtze Power,20.79,,0,0%,-7.15%,1-Feb
601088,China Shenhua Engy,28.28,,-0.11,-0.39%,20.29%,1-Feb
600028,Sinopec,4.52,,0,0%,3.67%,1-Feb
601012,Xian Longi,48.69,,0.54,1.12%,-33.50%,1-Feb
601166,Industrial Bank,17.5,,-0.12,-0.68%,-20.49%,1-Feb
600276,Jiangsu Hengrui Me.,42.64,,0.43,1.02%,3.65%,1-Feb
600030,CITIC Securities,22.09,,0.68,3.18%,-12.62%,1-Feb
601668,China State,5.57,,0.03,0.54%,1.64%,1-Feb
600000,Shanghai Pudong,7.36,,-0.01,-0.14%,-13.62%,1-Feb
